12241299 - ofa_vqa_old_max35_lr5_val.pkl : 	 ['Epoch  29 val', ' Macro-F1: 0.379'] 
12241228 - ofa_vqa_old_new_val.pkl : 	 ['Epoch  26 val', ' Macro-F1: 0.395'] 
12241201 - ofa_vqa_old_val.pkl : 	 ['Epoch  26 val', ' Macro-F1: 0.460'] 
12236083 - ofa_vqa_val.pkl : 	 ['Epoch  20 val', ' Macro-F1: 0.409'] 
12240108 - ofa_vqa_vqa_large_best.pt-all-1e-5-2_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.072'] 
12240106 - ofa_vqa_vqa_large_best.pt-all-1e-6-1_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.137'] 
12240110 - ofa_vqa_vqa_large_best.pt-all-5e-5-2_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.109'] 
12240009 - visualbert_lbert-nlvr2-coco-pre_1e-4_val.pkl : 	 ['Epoch  20 val', ' Macro-F1: 0.387'] 
12240120 - visualbert_lbert-nlvr2-coco-pre_1e-5_sb0.5-a_val.pkl : 	 ['Epoch  31 val', ' Macro-F1: 0.366'] 
12240086 - visualbert_lbert-nlvr2-coco-pre_1e-5_sb0.5_val.pkl : 	 ['Epoch   9 val', ' Macro-F1: 0.286'] 
12240083 - visualbert_lbert-nlvr2-coco-pre_1e-5_sb1_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.303'] 
12240123 - visualbert_lbert-nlvr2-coco-pre_1e-5_sb2-a_val.pkl : 	 ['Epoch  25 val', ' Macro-F1: 0.369'] 
12240006 - visualbert_lbert-nlvr2-coco-pre_1e-6_val.pkl : 	 ['Epoch   5 val', ' Macro-F1: 0.213'] 
12250862 - visualbert_ualbert-vcr-coco-pre_1e-4_capFalse_affine_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.462'] 
12250836 - visualbert_ualbert-vcr-coco-pre_1e-4_capFalse_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.442'] 
12250854 - visualbert_ualbert-vcr-coco-pre_1e-4_capFalse_macro_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.440'] 
12250860 - visualbert_ualbert-vcr-coco-pre_1e-4_capTrue_affine_val.pkl : 	 ['Epoch  25 val', ' Macro-F1: 0.465'] 
12250834 - visualbert_ualbert-vcr-coco-pre_1e-4_capTrue_cyclic5_val.pkl : 	 ['Epoch  31 val', ' Macro-F1: 0.444'] 
12250852 - visualbert_ualbert-vcr-coco-pre_1e-4_capTrue_macro_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.452'] 
12240132 - visualbert_ualbert-vcr-coco-pre_1e-4_sb1-c_val.pkl : 	 ['Epoch  17 val', ' Macro-F1: 0.406'] 
12240138 - visualbert_ualbert-vcr-coco-pre_1e-4_sb2-b_val.pkl : 	 ['Epoch  19 val', ' Macro-F1: 0.367'] 
12240134 - visualbert_ualbert-vcr-coco-pre_1e-4_sb2-c_val.pkl : 	 ['Epoch  31 val', ' Macro-F1: 0.450'] 
12240010 - visualbert_ualbert-vcr-coco-pre_1e-4_val.pkl : 	 ['Epoch  19 val', ' Macro-F1: 0.390'] 
12250866 - visualbert_ualbert-vcr-coco-pre_1e-5_capFalse_affine_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.378'] 
12250840 - visualbert_ualbert-vcr-coco-pre_1e-5_capFalse_cyclic5_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.378'] 
12250858 - visualbert_ualbert-vcr-coco-pre_1e-5_capFalse_macro_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.399'] 
12250864 - visualbert_ualbert-vcr-coco-pre_1e-5_capTrue_affine_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.395'] 
12250838 - visualbert_ualbert-vcr-coco-pre_1e-5_capTrue_cyclic5_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.417'] 
